revenue,depn,pat,payout,roe,CL,DE,assets,NFA,CA,inventory,receivables,fyear,divdate,dps,returns,PE,PB,EPS,cashEPS,CR,QR,depnNFA,invTO,invTA,margin,ACP,CR_g,QR_g,invTO_g,invTA_g,margin_g,ACP_g,DE_g,payout_g,depnNFA_g,roe_g,dps_g,eps_g,eps_next_cat,returns_next_cat,eps_next_num,returns_next_num,year
15697.3,176.4,1960.2,40.9703,58.0164,3121.9,1.9062,11203.5,2172.6,5606.8,4434.6,878.4,2015,2015-05-29,19.0,0.2725806451612908,77.45142822580645,34.20442459677421,174.91710040322582,191.37021249999935,1.7959575899292097,0.3754764726608795,0.0811930405965203,0.28250718276391484,0.3958227339670639,0.12487497849948719,20.424913838685637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,0.0,1,1,1.0,0.2725806451612908,2015
15697.3,176.4,1960.2,40.9703,58.0164,3121.9,1.9062,11203.5,2172.6,5606.8,4434.6,878.4,2015,2015-11-09,21.0,0.2725806451612908,77.45142822580645,34.20442459677421,174.91710040322582,191.37021249999935,1.7959575899292097,0.3754764726608795,0.0811930405965203,0.28250718276391484,0.3958227339670639,0.12487497849948719,20.424913838685637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473695,0.0,1,1,1.0,0.2725806451612908,2015
18060.7,241.2,2315.2,39.0247,50.516,3762.7,0.8097,9560.1,2166.7,6836.6,5408.1,1024.3,2016,2016-02-11,21.0,0.042105263157895124,65.30688582995948,25.46257894736844,205.15732267206462,226.45889311740817,1.816939963324209,0.3796475934834029,0.11132136428670329,0.2994402210324074,0.5656949195092101,0.12818993726710481,20.70072034860221,0.011683111846659155,0.011108873994058799,0.059938434495108606,0.42916227635444804,0.02654622092792791,-0.12928068615081256,-0.5752282027069562,-0.04748805842280868,0.37107027238827417,-0.12928068615081256,0.0,0.17288316693523864,1,1,0.852599839601258,0.2725806451612908,2016
18060.7,241.2,2315.2,39.0247,50.516,3762.7,0.8097,9560.1,2166.7,6836.6,5408.1,1024.3,2016,2016-05-24,24.0,0.042105263157895124,65.30688582995948,25.46257894736844,205.15732267206462,226.45889311740817,1.816939963324209,0.3796475934834029,0.11132136428670329,0.2994402210324074,0.5656949195092101,0.12818993726710481,20.70072034860221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,1,1,1.0,0.042105263157895124,2016
18060.7,241.2,2315.2,39.0247,50.516,3762.7,0.8097,9560.1,2166.7,6836.6,5408.1,1024.3,2016,2016-05-25,22.0,0.042105263157895124,65.30688582995948,25.46257894736844,205.15732267206462,226.45889311740817,1.816939963324209,0.3796475934834029,0.11132136428670329,0.2994402210324074,0.5656949195092101,0.12818993726710481,20.70072034860221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333337,0.0,1,1,1.0,0.042105263157895124,2016
18060.7,241.2,2315.2,39.0247,50.516,3762.7,0.8097,9560.1,2166.7,6836.6,5408.1,1024.3,2016,2016-11-10,25.0,0.042105263157895124,65.30688582995948,25.46257894736844,205.15732267206462,226.45889311740817,1.816939963324209,0.3796475934834029,0.11132136428670329,0.2994402210324074,0.5656949195092101,0.12818993726710481,20.70072034860221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363646,0.0,1,1,1.0,0.042105263157895124,2016
21548.1,247.2,2662.8,40.2133,44.5418,4258.2,0.7538,11655.7,2360.9,8331.9,6228.6,1127.2,2017,2017-02-09,25.0,0.5870967741935489,70.7694116935484,25.453916129032255,240.31874032258023,263.0816169354841,1.9566718331689446,0.4939411018740311,0.10470583252149603,0.2890556475977001,0.5343823193802174,0.1235747003216061,19.093469957908123,0.07690505611923859,0.3010515813940615,-0.034679955147319474,-0.055352450674577613,-0.03600311415928159,-0.11826352046876232,-0.0690379152772631,0.03045763324253592,-0.059427332817888034,-0.11826352046876232,0.0,0.17138758291713363,1,0,0.8536884073072355,0.042105263157895124,2017
21548.1,247.2,2662.8,40.2133,44.5418,4258.2,0.7538,11655.7,2360.9,8331.9,6228.6,1127.2,2017,2017-05-25,25.0,0.5870967741935489,70.7694116935484,25.453916129032255,240.31874032258023,263.0816169354841,1.9566718331689446,0.4939411018740311,0.10470583252149603,0.2890556475977001,0.5343823193802174,0.1235747003216061,19.093469957908123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.5870967741935489,2017
21548.1,247.2,2662.8,40.2133,44.5418,4258.2,0.7538,11655.7,2360.9,8331.9,6228.6,1127.2,2017,2017-05-26,26.0,0.5870967741935489,70.7694116935484,25.453916129032255,240.31874032258023,263.0816169354841,1.9566718331689446,0.4939411018740311,0.10470583252149603,0.2890556475977001,0.5343823193802174,0.1235747003216061,19.093469957908123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000036,0.0,1,1,1.0,0.5870967741935489,2017
21548.1,247.2,2662.8,40.2133,44.5418,4258.2,0.7538,11655.7,2360.9,8331.9,6228.6,1127.2,2017,2017-11-09,35.0,0.5870967741935489,70.7694116935484,25.453916129032255,240.31874032258023,263.0816169354841,1.9566718331689446,0.4939411018740311,0.10470583252149603,0.2890556475977001,0.5343823193802174,0.1235747003216061,19.093469957908123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615384615384626,0.0,1,1,1.0,0.5870967741935489,2017
