Id,PE,PB,Beta,ROE,g,nic2,Returns
404,9.12,0.89,0.93,13.2,-0.025355218,64,1.23034184
405,13.01,1.26,1.75,12.57,0.05217148,64,0.285045389
406,74.65,5.75,1.06,8.17,-0.2337969,28,0.40360509
407,40.7,1.73,1.37,2.87,-0.427964642,41,0.858675992
408,61.44,9.11,0.74,17.36,0.041593132,20,0.582339229
409,24.7,3.16,,16.47,0.219401746,21,0.423943603
410,17.75,8.8,1.28,39.66,-0.152865397,62,1.146622735
411,,1.79,,14.98,0,64,-0.165656431
412,,,1.53,,0,51,-0.263823065
413,22.53,3.41,0.86,20.16,0,23,0.065369261
414,,1.1,1.52,9.31,0.016566923,64,0.56064739
415,7.92,0.76,1.79,5.2,0,24,0.622807018
416,33.46,6.36,,56.61,0,42,0.340712223
417,32.71,4.19,1.5,14.38,-0.123869288,61,0.495747599
418,118.34,2.48,1.34,2.44,0.106239111,21,-0.316727397
419,23.73,4.55,1.32,19.42,0.127208412,20,0.357008761
420,45.92,6.77,,25.24,0.11288807,20,0.405571697
421,,,1.33,-225.06,0,72,0.514064516
422,57.97,5.47,0.76,8.66,-0.047588616,21,0.29973833
423,14.35,2.83,1.24,24.19,-0.0724431,60,0.007904316
424,30.53,3.28,0.86,13.8,0.036739322,64,0.419564916
425,91.69,9.16,1,14.06,-0.09553836,24,0.316469504
426,43.78,5,1.17,15.3,-0.018327628,29,0.683102653
427,104.3,2.6,1.35,5.45,0,41,0.096852996
428,23.29,3.21,0.76,16.29,0.04129438,29,0.588323728
429,33.77,8.18,0.87,32.04,0.145741862,22,0.296091785
430,12.44,4,0.97,54.94,0.172940211,20,0.888315672
431,38.74,11.21,,33.4,0.201969692,21,0.194450586
432,,3.7,1.23,,1.999170846,28,-0.0546875
433,,3.44,0.58,0.08,-0.183811456,13,-0.020408163
434,64.47,10.1,1.32,16.01,-0.312640063,46,-0.03444585
435,70.46,10.58,0.54,16.17,0.054329372,21,-0.029315197
436,46.56,9,1.3,26.23,-0.177028553,49,0.558021491
437,,4.58,,-8.86,-0.418789797,14,0.478343593
438,49.34,6.14,0.85,16.94,0.057098286,34,0.41175614
439,49.96,5.85,1.01,16.01,0.019936872,30,0.14185567
440,110.25,14.51,1.62,-29.07,0,62,0.320596528
441,91.18,16.35,1.66,21.28,-0.111470007,10,0.5449863
442,21.11,1.01,1.25,4.6,-0.648645111,34,0.724025974
443,34.57,1.89,1.25,9.64,0.041094666,10,1.030100334
444,65.26,3.54,1.05,11.14,0.110967779,61,0.250204415
445,34.32,12.13,0.56,42.02,0.004927682,62,0.332949087
446,79.15,4.89,1.29,5.63,0.254098981,10,0.471944397
447,34.12,9.22,1.61,30.15,0.114266776,62,1.680488204
448,50.3,0.63,0.76,4.37,-0.004760352,64,0.259785054
449,,4.25,1.7,-12.89,0.031217566,29,0.602393255
450,20.31,1.45,1.16,5.56,-0.022749275,35,0.719101124
451,11.05,0.96,1.3,16.21,0.123437578,24,1.219684611
452,365.35,7.14,0.68,13.75,-0.060267908,78,0.677930929
453,17.95,4.02,0.7,17.93,-0.032568784,62,0.474722565
454,91.74,3.91,0.75,5.02,-0.237062513,25,0.569249408
